Likes,Dislikes
"colorful","monochromatic colors"
"vibrant","flat/muted/boring palettes"
"bright saturated colors","flat/gray haze or fog blankness that makes the image dull"
"cohesive color schemes","clashing environments"
"pink-purple-blue palettes (as blended gradients/accents, not half-and-half blocking)","hard left/right color split or diptych 'two halves' look"
"prismatic neon trails where colors interweave smoothly (no binary bands)","two-tone graphic ribbons/arcs that read like 'pink side vs blue side'"
"color variety beyond pink/blue (teal, emerald, coral, gold, warm lantern amber) while staying cohesive","same magenta/cyan/violet palette every time"
"symmetry/balance (arches, radial gardens, terraces) inside one unified scene","central seam/border/scar composition; 'two shores/two worlds' framing"
"gentle asymmetry + dynamic perspective (off-center focal, diagonal paths, S-curves) while staying readable","repeated poster layout: centered hero object + couple on centerline + one big arc/axis"
"outdoors/nature themes","mostly cityscapes / skyline-dominant frames"
"calming gardens","incoherent scene layout"
"secret garden vibes","abstract without clear story"
"water features (ocean/lake/pond/pool)","murky/dark water"
"coastal/ocean scenery with a city backdrop (city secondary)","anonymous mid-rise blocks as main subject"
"Japanese city/garden aesthetics","greeting-card framing (wreath/garland border) or holiday decor overload"
"koi ponds","random disconnected elements"
"stylized cities as context (garden city / coastal town with nature)","abandoned/ruined-city vibes"
"future-glossy luminous buildings","apocalyptic/doomsday/end-of-world themes"
"fantastical architecture (inviting, functional, explorable)","horror elements"
"fantasy elements (whimsical, safe)","too dark/scary/ominous tone"
"uplifting, serene, joyful calm tone","haunted/wistful/brooding mood language (depressing tone)"
"bright daylight / golden hour / luminous optimistic lighting","twilight/blue-hour/dusk by default (moody low-key lighting)"
"clean, polished, well-maintained materials (polished stone, clean ceramic, glossy glass)","grit, weathering, concrete grain, cracks, patina"
"clear luminous water with sparkling reflections","dark pools / sludge / dirty-looking water"
"storytelling with clear emotional read","menacing 'being watched' vibe"
"mechanism-driven environmental metaphors (paths of light, water gates, atlas reshaping coast, gardens blooming)","random staged symbolism pile-ups"
"one meaningful symbol only when diegetic (held/used/worn/used as a tool)","paired dominant symbols (two orbs/panels/frames) used to explain 'two worlds/options'"
"surrealism expressed through architecture/light/reflections (not clutter)","found-object collage / everyday object 'city' made of cups/coins/cables/etc."
"no modern clutter props in-scene (unless explicitly requested)","phones / receipts / keys / random coins / staged everyday junk as foreground props"
"landmark + path + destination composition (lighthouse, aqueduct, bridge, observatory)","over-literal 'diagram' storytelling (multiple option-objects like three hero boats)"
"adventure/discovery/exploration vibes (boats/spaceships as travel/discovery)","sports/competition scenes that become rules-heavy spectacle with many actors"
"doable shared activities (hiking, walking garden paths, exploring terraces, boating)","too many simultaneous hero elements; 'too busy' cluttered scenes"
"environment-first framing (landscape as the star)","dominant foreground people who distract from the environment"
"people optional: tiny silhouettes or no people when the scene is about place","single character focus"
"women/girls present (when people are included)","stiff/formal clothing"
"couple integrated naturally/organically in midground (not pasted)","couple pasted like a sticker / awkwardly slotted into a corner"
"if people are included: full-body visibility (feet/legs visible), natural poses","cropped/hidden limbs; disembodied/cut-off arms/hands/legs"
"accurate anatomy (especially hands)","technical anatomy errors (especially hands)"
"classic/timeless compositions","duplicate/repeated scene"
"mildly impressionist / gouache / travel-poster / animated-film still look (clearly non-photoreal)","realistic photographic style / fashion-editorial / cinematic lens language"
"subtle holiday vibe via lighting/material warmth (1-2 motifs max)","ornament overload (garlands/bells/poinsettias everywhere)"
"wardrobe/styling as aesthetics (if fashion theme), no featured products","advertisement/packshot/product photography vibe"
"scene-first focus (environment + story), props always secondary","cosmetics-as-hero object (lipstick/compact/packaging)"
"open, welcoming crossings/paths (inviting bridges, open gates)","obstruction/blocked crossing/guarding vibe"
"gentle, joyful calm expressions/body language","sad/worried/distressed expressions"
"cross-cultural romance shown as blended motifs within one shared place","literal 'two cultures = two cities/two shores' split-world metaphor"
"optional: non-human travelers (e.g., friendly aliens) when characters are needed for novelty","distressing central figure"
"crisp sharp detail (when it suits the subject)","text/typography/labels/numbers/symbols/glyphs in the image"
